Movie_Names,Descriptions,Release_Dates,Director_Names,Ratings,Durations,Actors_list,Filming_Dates
La migliore offerta,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.,2013,Giuseppe Tornatore,7.8,131 min,"['Geoffrey Rush', 'Jim Sturgess', 'Sylvia Hoeks', 'Donald Sutherland']",30 April 2012 - 11 July 2012
The Silence of the Lambs,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",1991,Jonathan Demme,8.6,118 min,"['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney', 'Kasi Lemmons']",15 November 1989 - 1 March 1990
The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",2013,Martin Scorsese,8.2,180 min,"['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie', 'Matthew McConaughey']",25 August 2012 - 12 January 2013
The Fugitive,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",1993,Andrew Davis,7.8,130 min,"['Harrison Ford', 'Tommy Lee Jones', 'Sela Ward', 'Julianne Moore']",3 February 1993 - 15 May 1993
The Green Mile,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",1999,Frank Darabont,8.6,189 min,"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse', 'Bonnie Hunt']",N/A
Spotlight,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",I 2015,Tom McCarthy,8.1,129 min,"['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams', 'Liev Schreiber']",N/A
A Clockwork Orange,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",1971,Stanley Kubrick,8.3,136 min,"['Malcolm McDowell', 'Patrick Magee', 'Michael Bates', 'Warren Clarke']",7 September 1970 - February 1971
Gangs of New York,"In 1862, Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher, his father's killer.",2002,Martin Scorsese,7.5,167 min,"['Leonardo DiCaprio', 'Cameron Diaz', 'Daniel Day-Lewis', 'Jim Broadbent']",18 December 2000 - 30 March 2001
Ronin,A freelancing former U.S. Intelligence Agent tries to track down a mysterious package that is wanted by the Irish and the Russians.,1998,John Frankenheimer,7.3,122 min,"['Robert De Niro', 'Jean Reno', 'Natascha McElhone', 'Stellan Skarsgård']",N/A
Casino,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",1995,Martin Scorsese,8.2,178 min,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods']",14 September 1994 - 25 January 1995
The Sting,Two grifters team up to pull off the ultimate con.,1973,George Roy Hill,8.3,129 min,"['Paul Newman', 'Robert Redford', 'Robert Shaw', 'Charles Durning']",N/A
The Girl with the Dragon Tattoo,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",2011,David Fincher,7.8,158 min,"['Daniel Craig', 'Rooney Mara', 'Christopher Plummer', 'Stellan Skarsgård']",27 September 2010 - June 2011
"Lock, Stock and Two Smoking Barrels","Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",1998,Guy Ritchie,8.2,107 min,"['Jason Flemyng', 'Dexter Fletcher', 'Nick Moran', 'Jason Statham']",17 November 1997
On the Waterfront,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,1954,Elia Kazan,8.1,108 min,"['Marlon Brando', 'Karl Malden', 'Lee J. Cobb', 'Rod Steiger']",17 November 1953 - 26 January 1954
Murder on the Orient Express,"In December 1935, when his train is stopped by deep snow, detective Hercule Poirot is called on to solve a murder that occurred in his car the night before.",1974,Sidney Lumet,7.3,128 min,"['Albert Finney', 'Lauren Bacall', 'Ingrid Bergman', 'Sean Connery']",N/A
Dogville,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",2003,Lars von Trier,8,178 min,"['Nicole Kidman', 'Paul Bettany', 'Lauren Bacall', 'Harriet Andersson']",10 January 2002 - 3 March 2002
Straw Dogs,A young American and his English wife come to rural England and face increasingly vicious local harassment.,1971,Sam Peckinpah,7.5,113 min,"['Dustin Hoffman', 'Susan George', 'Peter Vaughan', 'T.P. McKenna']",7 January 1971 - 29 April 1971
Se7en,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",1995,David Fincher,8.6,127 min,"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey', 'Andrew Kevin Walker']",12 December 1994 - 10 March 1995
The Untouchables,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him.",1987,Brian De Palma,7.9,119 min,"['Kevin Costner', 'Sean Connery', 'Robert De Niro', 'Charles Martin Smith']",18 August 1986 - 21 November 1986
The Next Three Days,A married couple's life is turned upside down when the wife is accused of a murder.,2010,Paul Haggis,7.3,133 min,"['Russell Crowe', 'Elizabeth Banks', 'Liam Neeson', 'Michael Buie']",4 September 2009 - October 2009
